P_MASS,P_RADIUS,P_DENSITY,P_GRAVITY,P_ESCAPE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_PERIASTRON,P_APASTRON,P_IMPACT_PARAMETER,P_HILL_SPHERE,S_MASS,S_RADIUS,S_LUMINOSITY,S_TEMPERATURE,S_AGE,S_METALLICITY,S_LOG_G,S_MAG,S_SNOW_LINE,S_TIDAL_LOCK,P_DISTANCE,P_TYPE,S_TYPE,P_DETECTION,P_HABITABLE
6165.863300000003,654.9046107414761,2.1951274870126233e-05,0.014375991124099164,3.0683713711268847,326.03,1.29,0.231,71.71889964287921,94.8,0.99201,1.58799,1.3689824584465908,0.13067063,2.7,19.0,163.5468,4742.0,5.814800000000001,-0.35,2.3100000000000005,4.74,34.529063,0.64240028,1.3244178,Jovian,K0 III,Radial Velocity,0
4684.784800000001,1762.4399965731898,8.557494441854421e-07,0.0015082070474776996,1.6303755467953565,516.21997,1.53,0.08,61.05990108614855,195.3473037040929,1.4076,1.6524,1.8925432303645886,0.16755064,2.78,29.79,250.49294,4213.0,5.0920000000000005,-0.019999999999999934,1.93,5.016,42.732816,0.6486833200000001,1.534896,Jovian,K4 III,Radial Velocity,0
1525.5743999999997,108.73432657838572,0.0011866793500104561,0.12903277998786342,3.745703196799946,185.84,0.83,0.0,82.90007238593797,0.0,0.83,0.83,0.7253786524650385,0.073485255,2.2,11.000000000000002,58.175144,4813.0,3.1479999999999997,-0.24,2.63,5.227,20.593611,0.60001028,0.83,Jovian,G8 III,Radial Velocity,0
1481.0785000000008,17.967734174479443,0.2553278194685552,4.587662387560477,9.07909126851054,1773.4,2.93,0.37,85.48758779001253,147.5968986454594,1.8459,4.0141,0.6905197506843841,0.217991,0.9,0.93,0.62917118,5338.0,5.199999999999999,0.41,4.45,6.61,2.1416484,0.44541547000000004,3.1305585,Jovian,K0 V,Radial Velocity,0
565.7338499999998,19.74122848504929,0.07353424535064994,1.4516563389428538,5.353268111055249,798.5,1.66,0.68,86.00993913187907,141.9967438924885,0.5312,2.7888,0.5719892885122304,0.042832433,1.08,1.13,1.2505956,5750.0,3.8000000000000003,0.05999999999999998,4.359999999999999,6.249999999999999,3.019411,0.47332457000000006,2.043792,Jovian,G2.5 V,Radial Velocity,0
3273.6283999999987,107.21040403731055,0.002656553592013152,0.2848101839464987,5.525813505253762,993.3,2.6,0.08,83.74062309473914,166.1,2.392,2.808,1.156180834876782,0.26914123,2.3,8.5,39.782769,4979.0,2.252,-0.051999999999999935,2.82,5.506,17.029868,0.60896698,2.60832,Jovian,G6 III,Radial Velocity,0
2542.624000000001,34.902256893554856,0.05980281257913546,2.0872531275940993,8.535212057187865,4313.110476653135,330.0,0.0,3.9425550556521216,1691.6120160363198,330.0,330.0,166.16500203539508,47.561283,0.8500000000000001,0.508,0.0634501172,4060.0,0.005,-0.03160000000000003,4.747999999999999,13.072600000000003,0.67736895,0.14012839,330.0,Jovian,K7 V,Imaging,0
289.2234799999999,58.13405250192323,0.001472115047042177,0.08558001343362111,2.230496131820323,30.3506,0.19,0.042,82.49988585939954,210.0,0.18202,0.19798,0.4574767536715223,0.012081025,0.99,10.64,58.139697,4893.0,6.92,-0.77,2.42,5.579999999999999,20.587336,0.49217654999999993,0.19016758,Jovian,G3 IV,Radial Velocity,0
632.47773,25.551814783613835,0.03791228723347032,0.9687277414128009,4.975213746597069,452.8,1.333,0.09,85.92203622180318,9.2,1.21303,1.45297,0.777886373590218,0.090191357,1.5400000000000003,4.9,14.530485999999998,5098.0,2.7,-0.02999999999999999,3.499999999999999,6.440999999999999,10.292096,0.48748251,1.3383987,Jovian,K0 IV,Radial Velocity,0
273.33208000000013,29.02788084255736,0.01117492485078962,0.32438438699325417,3.0685813225049445,883.0,2.08,0.29,86.12191752958424,220.5,1.4768,2.6832,0.7776472146568478,0.083016328,1.5400000000000003,4.9,14.530485999999998,5098.0,2.7,-0.02999999999999999,3.499999999999999,6.440999999999999,10.292096,0.48748251,2.167464,Jovian,K0 IV,Radial Velocity,0
7786.786100000004,7.264898990200224,20.30810985316644,147.53636676514407,32.73891876543734,4736.37669214129,52.0,0.0,72.36518512828343,330.30557504610846,52.0,52.0,24.94195576442238,13.992264,0.4,0.564,0.10521963159999999,3530.0,0.12000000000000001,0.098,4.715999999999999,14.24,0.851977196,0.18511504000000004,52.0,Jovian,M3.5 V,Imaging,0
4417.809199999999,16.142400000000002,1.0502740646557982,16.953944061299758,16.543196384469514,5157.688964379355,156.0,0.0,47.762337253336966,713.6652578103066,156.0,156.0,78.50370167839043,53.43772,0.11,0.28,0.0061909849999999995,3064.0,0.035,-0.03160000000000003,4.59,13.951199999999998,0.2124436,0.098031817,156.0,Jovian,M6,Imaging,0
2383.7100000000005,3.9283912467663864,39.31961116227014,154.46281631611993,24.633115425522806,1242.8535510030233,15.0,0.0,78.82534895703924,167.33323859698314,15.0,15.0,7.713599676794226,7.3838744,0.02,0.469696396,0.042568212954,6487.6,0.001,-0.39999999999999997,4.117999999999999,6.588000000000001,0.44179879659999993,0.030706817000000004,15.0,Jovian,M8.5,Imaging,0
1271.3120000000004,2.406486166172075,91.22251425208937,219.525718591088,22.984464425094554,5322.4260915345,46.0,0.0,74.8333968405066,264.15604971677,46.0,46.0,21.631699555116022,18.363288,0.02,0.39199999999999996,0.11324590982813998,3032.5000000000005,0.008,0.04000000000000004,4.712000000000001,20.15,0.47389325361999984,0.043425998,46.0,Jovian,M8,Imaging,0
